symbol,action,entry,entry_time,exit_time,exit_price,exit_reason,pnl_usdt,confidence,tp1,sl,capital_after
BTC/USDT,SHORT,63310.93528,2024-03-06 03:00:00+00:00,2024-03-06 05:00:00+00:00,65364.15094676494,SL_HIT,-104.3169,73,60602.865404313416,65364.15094676494,9895.68
BTC/USDT,LONG,67029.30317999999,2024-03-06 08:00:00+00:00,2024-03-06 12:00:00+00:00,64985.37563435771,SL_HIT,-103.5001,90,69723.26582085637,64985.37563435771,9792.18
BTC/USDT,LONG,66013.09998,2024-03-06 12:00:00+00:00,2024-03-13 08:00:00+00:00,73743.72733824622,TP3_HIT,199.4919,90,68815.83721390771,66013.09998,9991.67
BTC/USDT,SHORT,67844.22844,2024-03-15 09:00:00+00:00,2024-03-15 18:00:00+00:00,69894.51770673605,SL_HIT,-104.5455,68,65142.1763910186,69894.51770673605,9887.13
BTC/USDT,SHORT,63926.912059999995,2024-04-13 23:00:00+00:00,2024-04-15 06:00:00+00:00,65895.18445551282,SL_HIT,-103.367,68,61332.387392649565,65895.18445551282,9783.76
BTC/USDT,SHORT,52685.860720000004,2024-08-05 05:00:00+00:00,2024-08-05 07:00:00+00:00,52685.860720000004,SL_HIT,60.1964,65,50478.07077553718,52685.860720000004,9843.96
BTC/USDT,SHORT,52635.07088,2024-08-05 07:00:00+00:00,2024-08-05 14:00:00+00:00,52635.07088,SL_HIT,61.4689,65,49945.4508217642,52635.07088,9905.43
BTC/USDT,SHORT,54017.494340000005,2024-08-05 14:00:00+00:00,2024-08-06 14:00:00+00:00,56415.94922980171,SL_HIT,-102.1775,77,50844.76769359773,56415.94922980171,9803.25
BTC/USDT,SHORT,65224.35252,2026-02-05 19:00:00+00:00,2026-02-06 01:00:00+00:00,65224.35252,SL_HIT,128.0443,65,62620.431516033066,65224.35252,9931.29
BTC/USDT,SHORT,65652.8668,2026-02-06 01:00:00+00:00,2026-02-06 14:00:00+00:00,68344.84218791782,SL_HIT,-102.7039,90,62094.21041610958,68344.84218791782,9828.59
