symbol,action,entry,entry_time,exit_time,exit_price,exit_reason,pnl_usdt,confidence,tp1,sl,capital_after
ETH/USDT,LONG,3322.724412,2024-02-28 18:00:00+00:00,2024-02-29 21:00:00+00:00,3322.724412,SL_HIT,61.5585,90,3462.8276126827104,3322.724412,10061.56
ETH/USDT,LONG,3753.170484,2024-03-06 06:00:00+00:00,2024-03-11 00:00:00+00:00,3753.170484,SL_HIT,62.3749,90,3926.310598515996,3753.170484,10123.93
ETH/USDT,SHORT,3684.7629,2024-03-15 09:00:00+00:00,2024-03-15 19:00:00+00:00,3799.624931096717,SL_HIT,-105.7862,68,3533.3334252043774,3799.624931096717,10018.15
ETH/USDT,SHORT,3631.463562,2024-03-15 20:00:00+00:00,2024-03-15 23:00:00+00:00,3741.5416078692465,SL_HIT,-104.8084,67,3486.387856174338,3741.5416078692465,9913.34
ETH/USDT,SHORT,3303.969074,2024-03-19 15:00:00+00:00,2024-03-20 12:00:00+00:00,3303.969074,SL_HIT,129.4876,90,3171.9471008808528,3303.969074,10042.83
ETH/USDT,SHORT,2911.537576,2024-04-13 20:00:00+00:00,2024-04-13 22:00:00+00:00,3025.2233543650486,SL_HIT,-104.0291,65,2761.315527513268,3025.2233543650486,9938.8
ETH/USDT,SHORT,3016.8965000000003,2024-04-13 22:00:00+00:00,2024-04-14 22:00:00+00:00,3138.7998565698636,SL_HIT,-102.8315,80,2855.7668579068486,3138.7998565698636,9835.97
ETH/USDT,LONG,3813.06246,2024-05-23 22:00:00+00:00,2024-05-24 06:00:00+00:00,3681.950977600561,SL_HIT,-102.3644,77,3986.0986965325856,3681.950977600561,9733.6
ETH/USDT,SHORT,2864.656954,2024-07-05 04:00:00+00:00,2024-07-05 11:00:00+00:00,2954.591275952671,SL_HIT,-101.6766,65,2746.081632063105,2954.591275952671,9631.92
ETH/USDT,SHORT,2525.534792,2024-08-05 00:00:00+00:00,2024-08-05 01:00:00+00:00,2226.8073696794636,TP3_HIT,196.2859,65,2417.228134428896,2525.534792,9828.21
ETH/USDT,SHORT,2316.9065259999998,2024-08-05 01:00:00+00:00,2024-08-05 07:00:00+00:00,2316.9065259999998,SL_HIT,62.4718,65,2155.368981969689,2316.9065259999998,9890.68
ETH/USDT,SHORT,2355.9487160000003,2024-08-05 07:00:00+00:00,2024-08-05 16:00:00+00:00,2494.315711400198,SL_HIT,-101.2645,90,2172.5590514664027,2494.315711400198,9789.42
ETH/USDT,SHORT,2373.2252599999997,2024-08-05 18:00:00+00:00,2024-08-06 00:00:00+00:00,2512.4169558852955,SL_HIT,-100.2309,65,2188.744058819606,2512.4169558852955,9689.19
ETH/USDT,SHORT,2456.578586,2024-08-06 11:00:00+00:00,2024-08-06 14:00:00+00:00,2543.5800418943895,SL_HIT,-100.7221,77,2341.7232774741474,2543.5800418943895,9588.47
ETH/USDT,SHORT,2459.378026,2024-08-06 23:00:00+00:00,2024-08-07 09:00:00+00:00,2535.0856790809335,SL_HIT,-100.2454,90,2359.5824278920886,2535.0856790809335,9488.22
ETH/USDT,SHORT,3714.316988,2024-12-09 22:00:00+00:00,2024-12-11 11:00:00+00:00,3714.316988,SL_HIT,58.1659,68,3565.229490247655,3714.316988,9546.39
ETH/USDT,SHORT,3438.282206,2024-12-19 19:00:00+00:00,2024-12-20 17:00:00+00:00,3438.282206,SL_HIT,124.7044,80,3300.6527657152433,3438.282206,9671.09
